"i" "j" "cor" "p"
"1" "churn_flag" "promo_sales_per" 0.0294933116017763 0.0294933116017763
"2" "churn_flag" "margin_per" 0.048835202731647 0.048835202731647
"3" "promo_sales_per" "margin_per" -0.356720458486652 -0.356720458486652
"4" "churn_flag" "food_visits_per" -0.0731855846929293 -0.0731855846929293
"5" "promo_sales_per" "food_visits_per" -0.162925116378912 -0.162925116378912
"6" "margin_per" "food_visits_per" -0.148729647523934 -0.148729647523934
"7" "churn_flag" "food_sales_per" -0.059545633793782 -0.059545633793782
"8" "promo_sales_per" "food_sales_per" -0.362000639910583 -0.362000639910583
"9" "margin_per" "food_sales_per" -0.25234373081758 -0.25234373081758
"10" "food_visits_per" "food_sales_per" 0.491916678590553 0.491916678590553
"11" "churn_flag" "food_promo_per" 0.013854451198202 0.013854451198202
"12" "promo_sales_per" "food_promo_per" 0.716276828986284 0.716276828986284
"13" "margin_per" "food_promo_per" -0.307678591181161 -0.307678591181161
"14" "food_visits_per" "food_promo_per" -0.0662103788032547 -0.0662103788032547
"15" "food_sales_per" "food_promo_per" -0.117152644019248 -0.117152644019248
"16" "churn_flag" "non_food_promo_per" -0.0053069760837871 -0.0053069760837871
"17" "promo_sales_per" "non_food_promo_per" 0.591829080162413 0.591829080162413
"18" "margin_per" "non_food_promo_per" -0.340371501255492 -0.340371501255492
"19" "food_visits_per" "non_food_promo_per" -0.0160520190444094 -0.0160520190444094
"20" "food_sales_per" "non_food_promo_per" -0.0917252471030682 -0.0917252471030682
"21" "food_promo_per" "non_food_promo_per" 0.152863188602461 0.152863188602461
"22" "churn_flag" "food_colli_per" -0.0438322769410125 -0.0438322769410125
"23" "promo_sales_per" "food_colli_per" -0.27541194499743 -0.27541194499743
"24" "margin_per" "food_colli_per" -0.227928176840486 -0.227928176840486
"25" "food_visits_per" "food_colli_per" 0.48618279125022 0.48618279125022
"26" "food_sales_per" "food_colli_per" 0.768235025903008 0.768235025903008
"27" "food_promo_per" "food_colli_per" -0.110297837814185 -0.110297837814185
"28" "non_food_promo_per" "food_colli_per" -0.0645412828312428 -0.0645412828312428
"29" "churn_flag" "food_pieces_per" -0.0376171854193498 -0.0376171854193498
"30" "promo_sales_per" "food_pieces_per" -0.259305517122471 -0.259305517122471
"31" "margin_per" "food_pieces_per" -0.206951729501151 -0.206951729501151
"32" "food_visits_per" "food_pieces_per" 0.473065258989357 0.473065258989357
"33" "food_sales_per" "food_pieces_per" 0.736902113991853 0.736902113991853
"34" "food_promo_per" "food_pieces_per" -0.107000832908436 -0.107000832908436
"35" "non_food_promo_per" "food_pieces_per" -0.052478041953162 -0.052478041953162
"36" "food_colli_per" "food_pieces_per" 0.951571025693145 0.951571025693145
"37" "churn_flag" "recency" 0.298324517976479 0.298324517976479
"38" "promo_sales_per" "recency" 0.0502688577858923 0.0502688577858923
"39" "margin_per" "recency" 0.0257345745619967 0.0257345745619967
"40" "food_visits_per" "recency" -0.0498197358885136 -0.0498197358885136
"41" "food_sales_per" "recency" -0.0661355231616813 -0.0661355231616813
"42" "food_promo_per" "recency" 0.0620835798783502 0.0620835798783502
"43" "non_food_promo_per" "recency" -0.013099571623 -0.013099571623
"44" "food_colli_per" "recency" -0.0514082755252138 -0.0514082755252138
"45" "food_pieces_per" "recency" -0.0496140991471643 -0.0496140991471643
"46" "churn_flag" "sales" -0.227704280014095 -0.227704280014095
"47" "promo_sales_per" "sales" -0.142261264568337 -0.142261264568337
"48" "margin_per" "sales" 0.0311671903922746 0.0311671903922746
"49" "food_visits_per" "sales" 0.145868757997574 0.145868757997574
"50" "food_sales_per" "sales" 0.140119677846927 0.140119677846927
"51" "food_promo_per" "sales" -0.115366674858002 -0.115366674858002
"52" "non_food_promo_per" "sales" -0.0366155182249338 -0.0366155182249338
"53" "food_colli_per" "sales" 0.128021359808983 0.128021359808983
"54" "food_pieces_per" "sales" 0.109706194816413 0.109706194816413
"55" "recency" "sales" -0.235952022180134 -0.235952022180134
"56" "churn_flag" "visits" -0.270781478443156 -0.270781478443156
"57" "promo_sales_per" "visits" -0.0382499624012187 -0.0382499624012187
"58" "margin_per" "visits" -0.162838374642818 -0.162838374642818
"59" "food_visits_per" "visits" 0.103289788406893 0.103289788406893
"60" "food_sales_per" "visits" 0.153685942202314 0.153685942202314
"61" "food_promo_per" "visits" -0.0227099091783947 -0.0227099091783947
"62" "non_food_promo_per" "visits" 0.0603154240293891 0.0603154240293891
